election_number,year,month,conservative_docs,labour_docs,liberal_democrates_docs,reform_uk_docs
1.0,1945,7,1945-07-conservative_party.pdf,1945-07-labour_party.pdf,,
2.0,1950,2,1950-02-conservative_party.pdf,1950-02-labour_party.pdf,,
3.0,1951,10,1951-10-conservative_party.pdf,1951-10-labour_party.pdf,,
4.0,1955,5,1955-05-conservative_party.pdf,1955-05-labour_party.pdf,,
5.0,1959,10,1959-10-conservative_party.pdf,1959-10-labour_party.pdf,,
6.0,1964,10,"1964-10-conservative_party.pdf, 1964-10-conservative_party.csv","1964-10-labour_party.pdf, 1964-10-labour_party.csv",,
7.0,1966,3,"1966-03-conservative_party.pdf, 1966-03-conservative_party.csv","1966-03-labour_party.pdf, 1966-03-labour_party.csv",,
8.0,1970,6,"1970-06-conservative_party.pdf, 1970-06-conservative_party.csv","1970-06-labour_party.pdf, 1970-06-labour_party.csv",,
9.0,1974,2,"1974-02-conservative_party.pdf, 1974-02-conservative_party.csv","1974-02-labour_party.pdf, 1974-02-labour_party.csv",,
10.0,1974,10,"1974-10-conservative_party.pdf, 1974-10-conservative_party.csv","1974-10-labour_party.pdf, 1974-10-labour_party.csv",,
11.0,1979,5,"1979-05-conservative_party.pdf, 1979-05-conservative_party.csv","1979-05-labour_party.pdf, 1979-05-labour_party.csv",,
12.0,1983,6,"1983-06-conservative_party.pdf, 1983-06-conservative_party.csv","1983-06-labour_party.pdf, 1983-06-labour_party.csv",,
13.0,1987,6,"1987-06-conservative_party.pdf, 1987-06-conservative_party.csv","1987-06-labour_party.pdf, 1987-06-labour_party.csv",,
14.0,1992,4,"1992-04-conservative_party.pdf, 1992-04-conservative_party.csv","1992-04-labour_party.pdf, 1992-04-labour_party.csv",1992-04-liberal_democrats.csv,
15.0,1997,5,"1997-05-conservative_party.pdf, 1997-05-conservative_party.csv","1997-05-labour_party.pdf, 1997-05-labour_party.csv",1997-05-liberal_democrats.csv,
16.0,2001,6,"2001-06-conservative_party.pdf, 2001-06-conservative_party.csv","2001-06-labour_party.pdf, 2001-06-labour_party.csv","2001-06-liberal_democrats.pdf, 2001-06-liberal_democrats.csv",
17.0,2005,5,"2005-05-conservative_party.pdf, 2005-05-conservative_party.csv","2005-05-labour_party.pdf, 2005-05-labour_party.csv","2005-05-liberal_democrats.pdf, 2005-05-liberal_democrats.csv",
19.0,2015,5,"2015-05-conservative_party.pdf, 2015-05-conservative_party.csv","2015-05-labour_party.pdf, 2015-05-labour_party.csv","2015-05-liberal_democrats.pdf, 2015-05-liberal_democrats.csv",
20.0,2017,6,"2017-06-conservative_party.pdf, 2017-06-conservative_party.csv","2017-06-labour_party.pdf, 2017-06-labour_party.csv","2017-06-liberal_democrats.pdf, 2017-06-liberal_democrats.csv",
21.0,2019,12,"2019-12-conservative_party.pdf, 2019-12-conservative_party.csv","2019-12-labour_party.pdf, 2019-12-labour_party.csv","2019-12-liberal_democrats.pdf, 2019-12-liberal_democrats.csv",
22.0,2024,7,2024-07-conservative_party.pdf,2024-07-labour_party.pdf,2024-07-liberal_democrats.pdf,2024-07-reform_uk.pdf
